lemma,features
hacoba'badacabaga,"falcon,verb,conditional,progressive,present,3pp"
hacoba'badacacaba,"falcon,verb,conditional,progressive,future,2ps"
hacoba'badacacaca,"falcon,verb,conditional,progressive,future,3ps"
hacoba'badacacada,"falcon,verb,conditional,progressive,future,1pp"
hacoba'badacacafa,"falcon,verb,conditional,progressive,future,2pp"
hacoba'badacacaga,"falcon,verb,conditional,progressive,future,3pp"
hacoba'badadaba,"falcon,verb,conditional,habitual,present,1ps"
hacoba'badadaca,"falcon,verb,conditional,habitual,future,1ps"
hacoba'badadada,"falcon,verb,conditional,habitual,past,1pp"
hacoba'badadafa,"falcon,verb,conditional,habitual,past,2pp"
hacoba'badadaga,"falcon,verb,conditional,habitual,past,3pp"
hacoba'badadababa,"falcon,verb,conditional,habitual,present,2ps"
hacoba'badadabaca,"falcon,verb,conditional,habitual,present,3ps"
hacoba'badadabada,"falcon,verb,conditional,habitual,present,1pp"
hacoba'badadabafa,"falcon,verb,conditional,habitual,present,2pp"
hacoba'badadabaga,"falcon,verb,conditional,habitual,present,3pp"
hacoba'badadacaba,"falcon,verb,conditional,habitual,future,2ps"
hacoba'badadacaca,"falcon,verb,conditional,habitual,future,3ps"
hacoba'badadacada,"falcon,verb,conditional,habitual,future,1pp"
hacoba'badadacafa,"falcon,verb,conditional,habitual,future,2pp"
hacoba'badadacaga,"falcon,verb,conditional,habitual,future,3pp"
hacoba'badafaba,"falcon,verb,conditional,frequentative,present,1ps"
hacoba'badafaca,"falcon,verb,conditional,frequentative,future,1ps"
hacoba'badafada,"falcon,verb,conditional,frequentative,past,1pp"
hacoba'badafafa,"falcon,verb,conditional,frequentative,past,2pp"
hacoba'badafaga,"falcon,verb,conditional,frequentative,past,3pp"
hacoba'badafababa,"falcon,verb,conditional,frequentative,present,2ps"
hacoba'badafabaca,"falcon,verb,conditional,frequentative,present,3ps"
hacoba'badafabada,"falcon,verb,conditional,frequentative,present,1pp"
hacoba'badafabafa,"falcon,verb,conditional,frequentative,present,2pp"
hacoba'badafabaga,"falcon,verb,conditional,frequentative,present,3pp"
hacoba'badafacaba,"falcon,verb,conditional,frequentative,future,2ps"
hacoba'badafacaca,"falcon,verb,conditional,frequentative,future,3ps"
hacoba'badafacada,"falcon,verb,conditional,frequentative,future,1pp"
hacoba'badafacafa,"falcon,verb,conditional,frequentative,future,2pp"
hacoba'badafacaga,"falcon,verb,conditional,frequentative,future,3pp"
hacoba'badagaba,"falcon,verb,conditional,iterative,present,1ps"
hacoba'badagaca,"falcon,verb,conditional,iterative,future,1ps"
hacoba'badagada,"falcon,verb,conditional,iterative,past,1pp"
hacoba'badagafa,"falcon,verb,conditional,iterative,past,2pp"
hacoba'badagaga,"falcon,verb,conditional,iterative,past,3pp"
hacoba'badagababa,"falcon,verb,conditional,iterative,present,2ps"
hacoba'badagabaca,"falcon,verb,conditional,iterative,present,3ps"
hacoba'badagabada,"falcon,verb,conditional,iterative,present,1pp"
hacoba'badagabafa,"falcon,verb,conditional,iterative,present,2pp"
hacoba'badagabaga,"falcon,verb,conditional,iterative,present,3pp"
hacoba'badagacaba,"falcon,verb,conditional,iterative,future,2ps"
hacoba'badagacaca,"falcon,verb,conditional,iterative,future,3ps"
hacoba'badagacada,"falcon,verb,conditional,iterative,future,1pp"
hacoba'badagacafa,"falcon,verb,conditional,iterative,future,2pp"
hacoba'badagacaga,"falcon,verb,conditional,iterative,future,3pp"
hacoba'bafabababa,"falcon,verb,optative,imperfective,present,2ps"
hacoba'bafababaca,"falcon,verb,optative,imperfective,present,3ps"
hacoba'bafababada,"falcon,verb,optative,imperfective,present,1pp"
hacoba'bafababafa,"falcon,verb,optative,imperfective,present,2pp"
hacoba'bafababaga,"falcon,verb,optative,imperfective,present,3pp"
hacoba'bafabacaba,"falcon,verb,optative,imperfective,future,2ps"
hacoba'bafabacaca,"falcon,verb,optative,imperfective,future,3ps"
hacoba'bafabacada,"falcon,verb,optative,imperfective,future,1pp"
hacoba'bafabacafa,"falcon,verb,optative,imperfective,future,2pp"
hacoba'bafabacaga,"falcon,verb,optative,imperfective,future,3pp"
hacoba'bafacababa,"falcon,verb,optative,progressive,present,2ps"
hacoba'bafacabaca,"falcon,verb,optative,progressive,present,3ps"
hacoba'bafacabada,"falcon,verb,optative,progressive,present,1pp"
hacoba'bafacabafa,"falcon,verb,optative,progressive,present,2pp"
hacoba'bafacabaga,"falcon,verb,optative,progressive,present,3pp"
hacoba'bafacacaba,"falcon,verb,optative,progressive,future,2ps"
hacoba'bafacacaca,"falcon,verb,optative,progressive,future,3ps"
hacoba'bafacacada,"falcon,verb,optative,progressive,future,1pp"
hacoba'bafacacafa,"falcon,verb,optative,progressive,future,2pp"
hacoba'bafacacaga,"falcon,verb,optative,progressive,future,3pp"
hacoba'bafadaba,"falcon,verb,optative,habitual,present,1ps"
hacoba'bafadaca,"falcon,verb,optative,habitual,future,1ps"
hacoba'bafadada,"falcon,verb,optative,habitual,past,1pp"
hacoba'bafadafa,"falcon,verb,optative,habitual,past,2pp"
hacoba'bafadaga,"falcon,verb,optative,habitual,past,3pp"
hacoba'bafadababa,"falcon,verb,optative,habitual,present,2ps"
hacoba'bafadabaca,"falcon,verb,optative,habitual,present,3ps"
hacoba'bafadabada,"falcon,verb,optative,habitual,present,1pp"
hacoba'bafadabafa,"falcon,verb,optative,habitual,present,2pp"
hacoba'bafadabaga,"falcon,verb,optative,habitual,present,3pp"
hacoba'bafadacaba,"falcon,verb,optative,habitual,future,2ps"
hacoba'bafadacaca,"falcon,verb,optative,habitual,future,3ps"
hacoba'bafadacada,"falcon,verb,optative,habitual,future,1pp"
hacoba'bafadacafa,"falcon,verb,optative,habitual,future,2pp"
hacoba'bafadacaga,"falcon,verb,optative,habitual,future,3pp"
hacoba'bafafaba,"falcon,verb,optative,frequentative,present,1ps"
hacoba'bafafaca,"falcon,verb,optative,frequentative,future,1ps"
hacoba'bafafada,"falcon,verb,optative,frequentative,past,1pp"
hacoba'bafafafa,"falcon,verb,optative,frequentative,past,2pp"
hacoba'bafafaga,"falcon,verb,optative,frequentative,past,3pp"
hacoba'bafafababa,"falcon,verb,optative,frequentative,present,2ps"
hacoba'bafafabaca,"falcon,verb,optative,frequentative,present,3ps"
hacoba'bafafabada,"falcon,verb,optative,frequentative,present,1pp"
hacoba'bafafabafa,"falcon,verb,optative,frequentative,present,2pp"
hacoba'bafafabaga,"falcon,verb,optative,frequentative,present,3pp"
hacoba'bafafacaba,"falcon,verb,optative,frequentative,future,2ps"
hacoba'bafafacaca,"falcon,verb,optative,frequentative,future,3ps"
hacoba'bafafacada,"falcon,verb,optative,frequentative,future,1pp"
hacoba'bafafacafa,"falcon,verb,optative,frequentative,future,2pp"
hacoba'bafafacaga,"falcon,verb,optative,frequentative,future,3pp"
hacoba'bafagaba,"falcon,verb,optative,iterative,present,1ps"
hacoba'bafagaca,"falcon,verb,optative,iterative,future,1ps"
hacoba'bafagada,"falcon,verb,optative,iterative,past,1pp"
hacoba'bafagafa,"falcon,verb,optative,iterative,past,2pp"
hacoba'bafagaga,"falcon,verb,optative,iterative,past,3pp"
hacoba'bafagababa,"falcon,verb,optative,iterative,present,2ps"
hacoba'bafagabaca,"falcon,verb,optative,iterative,present,3ps"
hacoba'bafagabada,"falcon,verb,optative,iterative,present,1pp"
hacoba'bafagabafa,"falcon,verb,optative,iterative,present,2pp"
hacoba'bafagabaga,"falcon,verb,optative,iterative,present,3pp"
hacoba'bafagacaba,"falcon,verb,optative,iterative,future,2ps"
hacoba'bafagacaca,"falcon,verb,optative,iterative,future,3ps"
hacoba'bafagacada,"falcon,verb,optative,iterative,future,1pp"
hacoba'bafagacafa,"falcon,verb,optative,iterative,future,2pp"
hacoba'bafagacaga,"falcon,verb,optative,iterative,future,3pp"
hacoba'bagabababa,"falcon,verb,jussive,imperfective,present,2ps"
hacoba'bagababaca,"falcon,verb,jussive,imperfective,present,3ps"
hacoba'bagababada,"falcon,verb,jussive,imperfective,present,1pp"
hacoba'bagababafa,"falcon,verb,jussive,imperfective,present,2pp"
hacoba'bagababaga,"falcon,verb,jussive,imperfective,present,3pp"
hacoba'bagabacaba,"falcon,verb,jussive,imperfective,future,2ps"
hacoba'bagabacaca,"falcon,verb,jussive,imperfective,future,3ps"
hacoba'bagabacada,"falcon,verb,jussive,imperfective,future,1pp"
hacoba'bagabacafa,"falcon,verb,jussive,imperfective,future,2pp"
hacoba'bagabacaga,"falcon,verb,jussive,imperfective,future,3pp"
hacoba'bagacababa,"falcon,verb,jussive,progressive,present,2ps"
hacoba'bagacabaca,"falcon,verb,jussive,progressive,present,3ps"
hacoba'bagacabada,"falcon,verb,jussive,progressive,present,1pp"
hacoba'bagacabafa,"falcon,verb,jussive,progressive,present,2pp"
hacoba'bagacabaga,"falcon,verb,jussive,progressive,present,3pp"
hacoba'bagacacaba,"falcon,verb,jussive,progressive,future,2ps"
hacoba'bagacacaca,"falcon,verb,jussive,progressive,future,3ps"
hacoba'bagacacada,"falcon,verb,jussive,progressive,future,1pp"
hacoba'bagacacafa,"falcon,verb,jussive,progressive,future,2pp"
hacoba'bagacacaga,"falcon,verb,jussive,progressive,future,3pp"
hacoba'bagadaba,"falcon,verb,jussive,habitual,present,1ps"
hacoba'bagadaca,"falcon,verb,jussive,habitual,future,1ps"
hacoba'bagadada,"falcon,verb,jussive,habitual,past,1pp"
hacoba'bagadafa,"falcon,verb,jussive,habitual,past,2pp"
hacoba'bagadaga,"falcon,verb,jussive,habitual,past,3pp"
hacoba'bagadababa,"falcon,verb,jussive,habitual,present,2ps"
hacoba'bagadabaca,"falcon,verb,jussive,habitual,present,3ps"
hacoba'bagadabada,"falcon,verb,jussive,habitual,present,1pp"
hacoba'bagadabafa,"falcon,verb,jussive,habitual,present,2pp"
hacoba'bagadabaga,"falcon,verb,jussive,habitual,present,3pp"
hacoba'bagadacaba,"falcon,verb,jussive,habitual,future,2ps"
hacoba'bagadacaca,"falcon,verb,jussive,habitual,future,3ps"
hacoba'bagadacada,"falcon,verb,jussive,habitual,future,1pp"
hacoba'bagadacafa,"falcon,verb,jussive,habitual,future,2pp"
hacoba'bagadacaga,"falcon,verb,jussive,habitual,future,3pp"
hacoba'bagafaba,"falcon,verb,jussive,frequentative,present,1ps"
hacoba'bagafaca,"falcon,verb,jussive,frequentative,future,1ps"
hacoba'bagafada,"falcon,verb,jussive,frequentative,past,1pp"
hacoba'bagafafa,"falcon,verb,jussive,frequentative,past,2pp"
hacoba'bagafaga,"falcon,verb,jussive,frequentative,past,3pp"
hacoba'bagafababa,"falcon,verb,jussive,frequentative,present,2ps"
hacoba'bagafabaca,"falcon,verb,jussive,frequentative,present,3ps"
hacoba'bagafabada,"falcon,verb,jussive,frequentative,present,1pp"
hacoba'bagafabafa,"falcon,verb,jussive,frequentative,present,2pp"
hacoba'bagafabaga,"falcon,verb,jussive,frequentative,present,3pp"
hacoba'bagafacaba,"falcon,verb,jussive,frequentative,future,2ps"
hacoba'bagafacaca,"falcon,verb,jussive,frequentative,future,3ps"
hacoba'bagafacada,"falcon,verb,jussive,frequentative,future,1pp"
hacoba'bagafacafa,"falcon,verb,jussive,frequentative,future,2pp"
hacoba'bagafacaga,"falcon,verb,jussive,frequentative,future,3pp"
hacoba'bagagaba,"falcon,verb,jussive,iterative,present,1ps"
hacoba'bagagaca,"falcon,verb,jussive,iterative,future,1ps"
hacoba'bagagada,"falcon,verb,jussive,iterative,past,1pp"
hacoba'bagagafa,"falcon,verb,jussive,iterative,past,2pp"
hacoba'bagagaga,"falcon,verb,jussive,iterative,past,3pp"
hacoba'bagagababa,"falcon,verb,jussive,iterative,present,2ps"
hacoba'bagagabaca,"falcon,verb,jussive,iterative,present,3ps"
hacoba'bagagabada,"falcon,verb,jussive,iterative,present,1pp"
hacoba'bagagabafa,"falcon,verb,jussive,iterative,present,2pp"
hacoba'bagagabaga,"falcon,verb,jussive,iterative,present,3pp"
hacoba'bagagacaba,"falcon,verb,jussive,iterative,future,2ps"
hacoba'bagagacaca,"falcon,verb,jussive,iterative,future,3ps"
hacoba'bagagacada,"falcon,verb,jussive,iterative,future,1pp"
hacoba'bagagacafa,"falcon,verb,jussive,iterative,future,2pp"
hacoba'bagagacaga,"falcon,verb,jussive,iterative,future,3pp"
hacoba'baha,"falcon,verb,interrogative,perfective,past,1ps"
hacoba'bahaba,"falcon,verb,interrogative,imperfective,past,1ps"
hacoba'bahaca,"falcon,verb,interrogative,progressive,past,1ps"
hacoba'bahada,"falcon,verb,interrogative,habitual,past,1ps"
hacoba'bahafa,"falcon,verb,interrogative,frequentative,past,1ps"
hacoba'bahaga,"falcon,verb,interrogative,iterative,past,1ps"
hacoba'bahababa,"falcon,verb,interrogative,imperfective,present,1ps"
hacoba'bahabaca,"falcon,verb,interrogative,imperfective,future,1ps"
hacoba'bahabada,"falcon,verb,interrogative,imperfective,past,1pp"
hacoba'bahabafa,"falcon,verb,interrogative,imperfective,past,2pp"
hacoba'bahabaga,"falcon,verb,interrogative,imperfective,past,3pp"
hacoba'bahacaba,"falcon,verb,interrogative,progressive,present,1ps"
hacoba'bahacaca,"falcon,verb,interrogative,progressive,future,1ps"
hacoba'bahacada,"falcon,verb,interrogative,progressive,past,1pp"
hacoba'bahacafa,"falcon,verb,interrogative,progressive,past,2pp"
hacoba'bahacaga,"falcon,verb,interrogative,progressive,past,3pp"
hacoba'bahabababa,"falcon,verb,interrogative,imperfective,present,2ps"
hacoba'bahababaca,"falcon,verb,interrogative,imperfective,present,3ps"
hacoba'bahababada,"falcon,verb,interrogative,imperfective,present,1pp"
hacoba'bahababafa,"falcon,verb,interrogative,imperfective,present,2pp"
hacoba'bahababaga,"falcon,verb,interrogative,imperfective,present,3pp"
hacoba'bahabacaba,"falcon,verb,interrogative,imperfective,future,2ps"
hacoba'bahabacaca,"falcon,verb,interrogative,imperfective,future,3ps"
hacoba'bahabacada,"falcon,verb,interrogative,imperfective,future,1pp"
hacoba'bahabacafa,"falcon,verb,interrogative,imperfective,future,2pp"
hacoba'bahabacaga,"falcon,verb,interrogative,imperfective,future,3pp"
hacoba'bahacababa,"falcon,verb,interrogative,progressive,present,2ps"
hacoba'bahacabaca,"falcon,verb,interrogative,progressive,present,3ps"
hacoba'bahacabada,"falcon,verb,interrogative,progressive,present,1pp"
hacoba'bahacabafa,"falcon,verb,interrogative,progressive,present,2pp"
hacoba'bahacabaga,"falcon,verb,interrogative,progressive,present,3pp"
hacoba'bahacacaba,"falcon,verb,interrogative,progressive,future,2ps"
hacoba'bahacacaca,"falcon,verb,interrogative,progressive,future,3ps"
hacoba'bahacacada,"falcon,verb,interrogative,progressive,future,1pp"
hacoba'bahacacafa,"falcon,verb,interrogative,progressive,future,2pp"
hacoba'bahacacaga,"falcon,verb,interrogative,progressive,future,3pp"
hacoba'bahadaba,"falcon,verb,interrogative,habitual,present,1ps"
hacoba'bahadaca,"falcon,verb,interrogative,habitual,future,1ps"
hacoba'bahadada,"falcon,verb,interrogative,habitual,past,1pp"
hacoba'bahadafa,"falcon,verb,interrogative,habitual,past,2pp"
hacoba'bahadaga,"falcon,verb,interrogative,habitual,past,3pp"
hacoba'bahadababa,"falcon,verb,interrogative,habitual,present,2ps"
hacoba'bahadabaca,"falcon,verb,interrogative,habitual,present,3ps"
hacoba'bahadabada,"falcon,verb,interrogative,habitual,present,1pp"
hacoba'bahadabafa,"falcon,verb,interrogative,habitual,present,2pp"
hacoba'bahadabaga,"falcon,verb,interrogative,habitual,present,3pp"
hacoba'bahadacaba,"falcon,verb,interrogative,habitual,future,2ps"
hacoba'bahadacaca,"falcon,verb,interrogative,habitual,future,3ps"
hacoba'bahadacada,"falcon,verb,interrogative,habitual,future,1pp"
hacoba'bahadacafa,"falcon,verb,interrogative,habitual,future,2pp"
hacoba'bahadacaga,"falcon,verb,interrogative,habitual,future,3pp"
hacoba'bahafaba,"falcon,verb,interrogative,frequentative,present,1ps"
hacoba'bahafaca,"falcon,verb,interrogative,frequentative,future,1ps"
hacoba'bahafada,"falcon,verb,interrogative,frequentative,past,1pp"
hacoba'bahafafa,"falcon,verb,interrogative,frequentative,past,2pp"
hacoba'bahafaga,"falcon,verb,interrogative,frequentative,past,3pp"
hacoba'bahafababa,"falcon,verb,interrogative,frequentative,present,2ps"
hacoba'bahafabaca,"falcon,verb,interrogative,frequentative,present,3ps"
hacoba'bahafabada,"falcon,verb,interrogative,frequentative,present,1pp"
hacoba'bahafabafa,"falcon,verb,interrogative,frequentative,present,2pp"
hacoba'bahafabaga,"falcon,verb,interrogative,frequentative,present,3pp"
hacoba'bahafacaba,"falcon,verb,interrogative,frequentative,future,2ps"
hacoba'bahafacaca,"falcon,verb,interrogative,frequentative,future,3ps"
hacoba'bahafacada,"falcon,verb,interrogative,frequentative,future,1pp"
hacoba'bahafacafa,"falcon,verb,interrogative,frequentative,future,2pp"
hacoba'bahafacaga,"falcon,verb,interrogative,frequentative,future,3pp"
hacoba'bahagaba,"falcon,verb,interrogative,iterative,present,1ps"
hacoba'bahagaca,"falcon,verb,interrogative,iterative,future,1ps"
hacoba'bahagada,"falcon,verb,interrogative,iterative,past,1pp"
hacoba'bahagafa,"falcon,verb,interrogative,iterative,past,2pp"
hacoba'bahagaga,"falcon,verb,interrogative,iterative,past,3pp"
hacoba'bahagababa,"falcon,verb,interrogative,iterative,present,2ps"
hacoba'bahagabaca,"falcon,verb,interrogative,iterative,present,3ps"
hacoba'bahagabada,"falcon,verb,interrogative,iterative,present,1pp"
hacoba'bahagabafa,"falcon,verb,interrogative,iterative,present,2pp"
hacoba'bahagabaga,"falcon,verb,interrogative,iterative,present,3pp"
hacoba'bahagacaba,"falcon,verb,interrogative,iterative,future,2ps"
hacoba'bahagacaca,"falcon,verb,interrogative,iterative,future,3ps"
hacoba'bahagacada,"falcon,verb,interrogative,iterative,future,1pp"
hacoba'bahagacafa,"falcon,verb,interrogative,iterative,future,2pp"
hacoba'bahagacaga,"falcon,verb,interrogative,iterative,future,3pp"
hacoba'baja,"falcon,verb,exclamatory,perfective,past,1ps"
hacoba'bajaba,"falcon,verb,exclamatory,imperfective,past,1ps"
hacoba'bajaca,"falcon,verb,exclamatory,progressive,past,1ps"
hacoba'bajada,"falcon,verb,exclamatory,habitual,past,1ps"
hacoba'bajafa,"falcon,verb,exclamatory,frequentative,past,1ps"
hacoba'bajaga,"falcon,verb,exclamatory,iterative,past,1ps"
hacoba'bajababa,"falcon,verb,exclamatory,imperfective,present,1ps"
hacoba'bajabaca,"falcon,verb,exclamatory,imperfective,future,1ps"
hacoba'bajabada,"falcon,verb,exclamatory,imperfective,past,1pp"
hacoba'bajabafa,"falcon,verb,exclamatory,imperfective,past,2pp"
hacoba'bajabaga,"falcon,verb,exclamatory,imperfective,past,3pp"
hacoba'bajacaba,"falcon,verb,exclamatory,progressive,present,1ps"
hacoba'bajacaca,"falcon,verb,exclamatory,progressive,future,1ps"
hacoba'bajacada,"falcon,verb,exclamatory,progressive,past,1pp"
hacoba'bajacafa,"falcon,verb,exclamatory,progressive,past,2pp"
hacoba'bajacaga,"falcon,verb,exclamatory,progressive,past,3pp"
hacoba'bajabababa,"falcon,verb,exclamatory,imperfective,present,2ps"
hacoba'bajababaca,"falcon,verb,exclamatory,imperfective,present,3ps"
hacoba'bajababada,"falcon,verb,exclamatory,imperfective,present,1pp"
hacoba'bajababafa,"falcon,verb,exclamatory,imperfective,present,2pp"
hacoba'bajababaga,"falcon,verb,exclamatory,imperfective,present,3pp"
hacoba'bajabacaba,"falcon,verb,exclamatory,imperfective,future,2ps"
hacoba'bajabacaca,"falcon,verb,exclamatory,imperfective,future,3ps"
hacoba'bajabacada,"falcon,verb,exclamatory,imperfective,future,1pp"
hacoba'bajabacafa,"falcon,verb,exclamatory,imperfective,future,2pp"
hacoba'bajabacaga,"falcon,verb,exclamatory,imperfective,future,3pp"
hacoba'bajacababa,"falcon,verb,exclamatory,progressive,present,2ps"
hacoba'bajacabaca,"falcon,verb,exclamatory,progressive,present,3ps"
hacoba'bajacabada,"falcon,verb,exclamatory,progressive,present,1pp"
hacoba'bajacabafa,"falcon,verb,exclamatory,progressive,present,2pp"
hacoba'bajacabaga,"falcon,verb,exclamatory,progressive,present,3pp"
hacoba'bajacacaba,"falcon,verb,exclamatory,progressive,future,2ps"
hacoba'bajacacaca,"falcon,verb,exclamatory,progressive,future,3ps"
hacoba'bajacacada,"falcon,verb,exclamatory,progressive,future,1pp"
hacoba'bajacacafa,"falcon,verb,exclamatory,progressive,future,2pp"
hacoba'bajacacaga,"falcon,verb,exclamatory,progressive,future,3pp"
hacoba'bajadaba,"falcon,verb,exclamatory,habitual,present,1ps"
hacoba'bajadaca,"falcon,verb,exclamatory,habitual,future,1ps"
hacoba'bajadada,"falcon,verb,exclamatory,habitual,past,1pp"
hacoba'bajadafa,"falcon,verb,exclamatory,habitual,past,2pp"
hacoba'bajadaga,"falcon,verb,exclamatory,habitual,past,3pp"
hacoba'bajadababa,"falcon,verb,exclamatory,habitual,present,2ps"
hacoba'bajadabaca,"falcon,verb,exclamatory,habitual,present,3ps"
hacoba'bajadabada,"falcon,verb,exclamatory,habitual,present,1pp"
hacoba'bajadabafa,"falcon,verb,exclamatory,habitual,present,2pp"
hacoba'bajadabaga,"falcon,verb,exclamatory,habitual,present,3pp"
hacoba'bajadacaba,"falcon,verb,exclamatory,habitual,future,2ps"
hacoba'bajadacaca,"falcon,verb,exclamatory,habitual,future,3ps"
hacoba'bajadacada,"falcon,verb,exclamatory,habitual,future,1pp"
hacoba'bajadacafa,"falcon,verb,exclamatory,habitual,future,2pp"
hacoba'bajadacaga,"falcon,verb,exclamatory,habitual,future,3pp"
hacoba'bajafaba,"falcon,verb,exclamatory,frequentative,present,1ps"
hacoba'bajafaca,"falcon,verb,exclamatory,frequentative,future,1ps"
hacoba'bajafada,"falcon,verb,exclamatory,frequentative,past,1pp"
hacoba'bajafafa,"falcon,verb,exclamatory,frequentative,past,2pp"
hacoba'bajafaga,"falcon,verb,exclamatory,frequentative,past,3pp"
hacoba'bajafababa,"falcon,verb,exclamatory,frequentative,present,2ps"
hacoba'bajafabaca,"falcon,verb,exclamatory,frequentative,present,3ps"
hacoba'bajafabada,"falcon,verb,exclamatory,frequentative,present,1pp"
hacoba'bajafabafa,"falcon,verb,exclamatory,frequentative,present,2pp"
hacoba'bajafabaga,"falcon,verb,exclamatory,frequentative,present,3pp"
hacoba'bajafacaba,"falcon,verb,exclamatory,frequentative,future,2ps"
hacoba'bajafacaca,"falcon,verb,exclamatory,frequentative,future,3ps"
hacoba'bajafacada,"falcon,verb,exclamatory,frequentative,future,1pp"
hacoba'bajafacafa,"falcon,verb,exclamatory,frequentative,future,2pp"
hacoba'bajafacaga,"falcon,verb,exclamatory,frequentative,future,3pp"
hacoba'bajagaba,"falcon,verb,exclamatory,iterative,present,1ps"
hacoba'bajagaca,"falcon,verb,exclamatory,iterative,future,1ps"
hacoba'bajagada,"falcon,verb,exclamatory,iterative,past,1pp"
hacoba'bajagafa,"falcon,verb,exclamatory,iterative,past,2pp"
hacoba'bajagaga,"falcon,verb,exclamatory,iterative,past,3pp"
hacoba'bajagababa,"falcon,verb,exclamatory,iterative,present,2ps"
hacoba'bajagabaca,"falcon,verb,exclamatory,iterative,present,3ps"
hacoba'bajagabada,"falcon,verb,exclamatory,iterative,present,1pp"
hacoba'bajagabafa,"falcon,verb,exclamatory,iterative,present,2pp"
hacoba'bajagabaga,"falcon,verb,exclamatory,iterative,present,3pp"
hacoba'bajagacaba,"falcon,verb,exclamatory,iterative,future,2ps"
hacoba'bajagacaca,"falcon,verb,exclamatory,iterative,future,3ps"
hacoba'bajagacada,"falcon,verb,exclamatory,iterative,future,1pp"
hacoba'bajagacafa,"falcon,verb,exclamatory,iterative,future,2pp"
hacoba'bajagacaga,"falcon,verb,exclamatory,iterative,future,3pp"
gagama',"puma,noun,nominative,singular"
gagama'ba,"puma,verb,indicative,perfective,past,1ps"
gagama'baba,"puma,verb,subjunctive,perfective,past,1ps"
gagama'baca,"puma,verb,imperative,perfective,past,1ps"
gagama'bada,"puma,verb,conditional,perfective,past,1ps"
gagama'bafa,"puma,verb,optative,perfective,past,1ps"
gagama'baga,"puma,verb,jussive,perfective,past,1ps"
gagama'bababa,"puma,verb,subjunctive,imperfective,past,1ps"
gagama'babaca,"puma,verb,subjunctive,progressive,past,1ps"
gagama'babada,"puma,verb,subjunctive,habitual,past,1ps"
gagama'babafa,"puma,verb,subjunctive,frequentative,past,1ps"
gagama'babaga,"puma,verb,subjunctive,iterative,past,1ps"
gagama'bacaba,"puma,verb,imperative,imperfective,past,1ps"
gagama'bacaca,"puma,verb,imperative,progressive,past,1ps"
gagama'bacada,"puma,verb,imperative,habitual,past,1ps"
gagama'bacafa,"puma,verb,imperative,frequentative,past,1ps"
gagama'bacaga,"puma,verb,imperative,iterative,past,1ps"
gagama'babababa,"puma,verb,subjunctive,imperfective,present,1ps"
gagama'bababaca,"puma,verb,subjunctive,imperfective,future,1ps"
gagama'bababada,"puma,verb,subjunctive,imperfective,past,1pp"
gagama'bababafa,"puma,verb,subjunctive,imperfective,past,2pp"
gagama'bababaga,"puma,verb,subjunctive,imperfective,past,3pp"
gagama'babacaba,"puma,verb,subjunctive,progressive,present,1ps"
gagama'babacaca,"puma,verb,subjunctive,progressive,future,1ps"
gagama'babacada,"puma,verb,subjunctive,progressive,past,1pp"
gagama'babacafa,"puma,verb,subjunctive,progressive,past,2pp"
gagama'babacaga,"puma,verb,subjunctive,progressive,past,3pp"
gagama'bacababa,"puma,verb,imperative,imperfective,present,1ps"
gagama'bacabaca,"puma,verb,imperative,imperfective,future,1ps"
gagama'bacabada,"puma,verb,imperative,imperfective,past,1pp"
gagama'bacabafa,"puma,verb,imperative,imperfective,past,2pp"
gagama'bacabaga,"puma,verb,imperative,imperfective,past,3pp"
gagama'bacacaba,"puma,verb,imperative,progressive,present,1ps"
gagama'bacacaca,"puma,verb,imperative,progressive,future,1ps"
gagama'bacacada,"puma,verb,imperative,progressive,past,1pp"
gagama'bacacafa,"puma,verb,imperative,progressive,past,2pp"
gagama'bacacaga,"puma,verb,imperative,progressive,past,3pp"
gagama'badaba,"puma,verb,conditional,imperfective,past,1ps"
gagama'badaca,"puma,verb,conditional,progressive,past,1ps"
gagama'badada,"puma,verb,conditional,habitual,past,1ps"
gagama'badafa,"puma,verb,conditional,frequentative,past,1ps"
gagama'badaga,"puma,verb,conditional,iterative,past,1ps"
gagama'badababa,"puma,verb,conditional,imperfective,present,1ps"
gagama'badabaca,"puma,verb,conditional,imperfective,future,1ps"
gagama'badabada,"puma,verb,conditional,imperfective,past,1pp"
gagama'badabafa,"puma,verb,conditional,imperfective,past,2pp"
gagama'badabaga,"puma,verb,conditional,imperfective,past,3pp"
gagama'badacaba,"puma,verb,conditional,progressive,present,1ps"
gagama'badacaca,"puma,verb,conditional,progressive,future,1ps"
gagama'badacada,"puma,verb,conditional,progressive,past,1pp"
gagama'badacafa,"puma,verb,conditional,progressive,past,2pp"
gagama'badacaga,"puma,verb,conditional,progressive,past,3pp"
gagama'bafaba,"puma,verb,optative,imperfective,past,1ps"
gagama'bafaca,"puma,verb,optative,progressive,past,1ps"
gagama'bafada,"puma,verb,optative,habitual,past,1ps"
gagama'bafafa,"puma,verb,optative,frequentative,past,1ps"
gagama'bafaga,"puma,verb,optative,iterative,past,1ps"
gagama'bafababa,"puma,verb,optative,imperfective,present,1ps"
gagama'bafabaca,"puma,verb,optative,imperfective,future,1ps"
gagama'bafabada,"puma,verb,optative,imperfective,past,1pp"
gagama'bafabafa,"puma,verb,optative,imperfective,past,2pp"
gagama'bafabaga,"puma,verb,optative,imperfective,past,3pp"
